MEP_name,MEP_id,national_party,national_party_id,EU_parliament_group,EU_parliament_group_id,EU_electoral_district,EU_electoral_district_id,elected_in_country,elected_in_country_id,start_date,end_date,parliamentary_term,parliamentary_term_id
Daniel Cohn-Bendit,http://www.wikidata.org/entity/Q76837,Alliance '90/The Greens,http://www.wikidata.org/entity/Q49766,The Green Group in the European Parliament,http://www.wikidata.org/entity/Q3777459,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1994-07-19,1999-07-19,Fourth European Parliament,http://www.wikidata.org/entity/Q17315706
Daniel Cohn-Bendit,http://www.wikidata.org/entity/Q76837,The Greens,http://www.wikidata.org/entity/Q743390,The Greens–European Free Alliance,http://www.wikidata.org/entity/Q751935,France,http://www.wikidata.org/entity/Q5478259,France,http://www.wikidata.org/entity/Q142,1999-07-20,2004-07-19,Fifth European Parliament,http://www.wikidata.org/entity/Q16836722
Daniel Cohn-Bendit,http://www.wikidata.org/entity/Q76837,Europe Ecology – The Greens,http://www.wikidata.org/entity/Q613786,The Greens–European Free Alliance,http://www.wikidata.org/entity/Q751935,Île-de-France,http://www.wikidata.org/entity/Q556691,France,http://www.wikidata.org/entity/Q142,2009-07-14,2014-06-30,Seventh European Parliament,http://www.wikidata.org/entity/Q4644021
Daniel Cohn-Bendit,http://www.wikidata.org/entity/Q76837,Alliance '90/The Greens,http://www.wikidata.org/entity/Q49766,The Greens–European Free Alliance,http://www.wikidata.org/entity/Q751935,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,2004-07-20,2009-07-13,Sixth European Parliament,http://www.wikidata.org/entity/Q4642661
Alexander Radwan,http://www.wikidata.org/entity/Q78198,Christian Social Union of Bavaria,http://www.wikidata.org/entity/Q49763,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,2004-07-20,2008-12-02,Sixth European Parliament,http://www.wikidata.org/entity/Q4642661
Alexander Radwan,http://www.wikidata.org/entity/Q78198,Christian Social Union of Bavaria,http://www.wikidata.org/entity/Q49763,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1999-07-20,2004-07-19,Fifth European Parliament,http://www.wikidata.org/entity/Q16836722
Christa Klaß,http://www.wikidata.org/entity/Q78210,Christian Democratic Union,http://www.wikidata.org/entity/Q49762,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,2004-07-20,2009-07-13,Sixth European Parliament,http://www.wikidata.org/entity/Q4642661
Christa Klaß,http://www.wikidata.org/entity/Q78210,Christian Democratic Union,http://www.wikidata.org/entity/Q49762,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1999-07-20,2004-07-19,Fifth European Parliament,http://www.wikidata.org/entity/Q16836722
Christa Klaß,http://www.wikidata.org/entity/Q78210,Christian Democratic Union,http://www.wikidata.org/entity/Q49762,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,2009-07-14,2014-06-30,Seventh European Parliament,http://www.wikidata.org/entity/Q4644021
Christa Klaß,http://www.wikidata.org/entity/Q78210,Christian Democratic Union,http://www.wikidata.org/entity/Q49762,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1994-07-19,1999-07-19,Fourth European Parliament,http://www.wikidata.org/entity/Q17315706
Eva Lichtenberger,http://www.wikidata.org/entity/Q79073,Die Grünen,http://www.wikidata.org/entity/Q193178,The Greens–European Free Alliance,http://www.wikidata.org/entity/Q751935,Austria,http://www.wikidata.org/entity/Q4825411,Austria,http://www.wikidata.org/entity/Q40,2009-07-14,2014-06-30,Seventh European Parliament,http://www.wikidata.org/entity/Q4644021
Eva Lichtenberger,http://www.wikidata.org/entity/Q79073,Die Grünen,http://www.wikidata.org/entity/Q193178,The Greens–European Free Alliance,http://www.wikidata.org/entity/Q751935,Austria,http://www.wikidata.org/entity/Q4825411,Austria,http://www.wikidata.org/entity/Q40,2004-07-20,2009-07-13,Sixth European Parliament,http://www.wikidata.org/entity/Q4642661
Johannes Voggenhuber,http://www.wikidata.org/entity/Q79074,Die Grünen,http://www.wikidata.org/entity/Q193178,The Greens–European Free Alliance,http://www.wikidata.org/entity/Q751935,Austria,http://www.wikidata.org/entity/Q4825411,Austria,http://www.wikidata.org/entity/Q40,1999-07-20,2004-07-19,Fifth European Parliament,http://www.wikidata.org/entity/Q16836722
Johannes Voggenhuber,http://www.wikidata.org/entity/Q79074,Die Grünen,http://www.wikidata.org/entity/Q193178,The Greens–European Free Alliance,http://www.wikidata.org/entity/Q751935,Austria,http://www.wikidata.org/entity/Q4825411,Austria,http://www.wikidata.org/entity/Q40,2004-07-20,2009-07-13,Sixth European Parliament,http://www.wikidata.org/entity/Q4642661
Johannes Voggenhuber,http://www.wikidata.org/entity/Q79074,Die Grünen,http://www.wikidata.org/entity/Q193178,The Green Group in the European Parliament,http://www.wikidata.org/entity/Q3777459,Austria,http://www.wikidata.org/entity/Q4825411,Austria,http://www.wikidata.org/entity/Q40,1995-01-01,1999-07-19,Fourth European Parliament,http://www.wikidata.org/entity/Q17315706
Norbert Neuser,http://www.wikidata.org/entity/Q104492,Social Democratic Party of Germany,http://www.wikidata.org/entity/Q49768,Progressive Alliance of Socialists and Democrats,http://www.wikidata.org/entity/Q507343,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,2009-07-14,2014-06-30,Seventh European Parliament,http://www.wikidata.org/entity/Q4644021
Norbert Neuser,http://www.wikidata.org/entity/Q104492,Social Democratic Party of Germany,http://www.wikidata.org/entity/Q49768,Progressive Alliance of Socialists and Democrats,http://www.wikidata.org/entity/Q507343,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,2014-05-25,,Eighth European Parliament,http://www.wikidata.org/entity/Q17315694
Kerstin Westphal,http://www.wikidata.org/entity/Q104881,Social Democratic Party of Germany,http://www.wikidata.org/entity/Q49768,Progressive Alliance of Socialists and Democrats,http://www.wikidata.org/entity/Q507343,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,2009-07-14,2014-06-30,Seventh European Parliament,http://www.wikidata.org/entity/Q4644021
Kerstin Westphal,http://www.wikidata.org/entity/Q104881,Social Democratic Party of Germany,http://www.wikidata.org/entity/Q49768,Progressive Alliance of Socialists and Democrats,http://www.wikidata.org/entity/Q507343,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,2014-05-25,,Eighth European Parliament,http://www.wikidata.org/entity/Q17315694
Stefan Dittrich,http://www.wikidata.org/entity/Q104992,,,,,,,,,,,,
Klaus Buchner,http://www.wikidata.org/entity/Q105761,Ecological Democratic Party,http://www.wikidata.org/entity/Q294989,The Greens–European Free Alliance,http://www.wikidata.org/entity/Q751935,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,2014-07-01,2019-07-01,Eighth European Parliament,http://www.wikidata.org/entity/Q17315694
Walter Arendt,http://www.wikidata.org/entity/Q84385,,,,,,,,,,,,
Christa Prets,http://www.wikidata.org/entity/Q85412,Social Democratic Party of Austria,http://www.wikidata.org/entity/Q179111,Progressive Alliance of Socialists and Democrats,http://www.wikidata.org/entity/Q507343,Austria,http://www.wikidata.org/entity/Q4825411,Austria,http://www.wikidata.org/entity/Q40,1999-07-20,2004-07-19,Fifth European Parliament,http://www.wikidata.org/entity/Q16836722
Christa Prets,http://www.wikidata.org/entity/Q85412,Social Democratic Party of Austria,http://www.wikidata.org/entity/Q179111,Progressive Alliance of Socialists and Democrats,http://www.wikidata.org/entity/Q507343,Austria,http://www.wikidata.org/entity/Q4825411,Austria,http://www.wikidata.org/entity/Q40,2004-07-20,2009-07-13,Sixth European Parliament,http://www.wikidata.org/entity/Q4642661
